sample	readType	X	autosomes	ratio
SP4210	all	2.665025488411969e-05	4.831257038400531e-05	0.5516215484354089
SP4210	deam	5.197379335786514e-06	1.053522214172954e-05	0.4933336256100314
SP4211	all	0.00012058950518372575	0.00012408976842242394	0.9717924911683076
SP4211	deam	3.428853480015787e-05	3.6288751117946136e-05	0.94488054132017
